Year_of_Release,Platform,Genre,Global_Sales
-01-0108-01-01,DS,Adventure,0.05
1998-01-01,PS,Misc,0.05
-01-0106-01-01,Wii,Strategy,0.05
-01-0108-01-01,DS,Simulation,0.05
-01-0101-01-01,GBA,Puzzle,0.05
-01-0115-01-01,PS4,Action,0.05
-01-0102-01-01,GBA,Puzzle,0.05
-01-0101-01-01,PS2,Racing,0.05
-01-0107-01-01,DS,Adventure,0.05
1996-01-01,SAT,Shooter,0.05
1999-01-01,DC,Sports,0.05
1995-01-01,SNES,Misc,0.05
-01-0105-01-01,GC,Misc,0.05
1995-01-01,SNES,Shooter,0.05
-01-0116-01-01,PC,Shooter,0.05
-01-01-01-01-01-01,PS2,Sports,0.05
1995-01-01,PS,Platform,0.05
-01-0102-01-01,GBA,Shooter,0.05
-01-0108-01-01,PS2,Adventure,0.05
-01-0107-01-01,DS,Platform,0.05
-01-01-01-01-01-01,PC,Shooter,0.05
-01-0116-01-01,PS4,Racing,0.05
-01-0106-01-01,DS,Action,0.05
-01-0105-01-01,PS2,Role-Playing,0.05
1995-01-01,SAT,Adventure,0.05
-01-0114-01-01,PS4,Role-Playing,0.05
-01-0104-01-01,PS2,Sports,0.05
-01-0106-01-01,Wii,Action,0.05
-01-0106-01-01,GBA,Action,0.05
-01-0102-01-01,PS2,Role-Playing,0.05
-01-0107-01-01,PS2,Strategy,0.05
-01-0108-01-01,DS,Misc,0.05
-01-01-01-01-01-01,PS3,Shooter,0.05
-01-01-01-01-01-01,DS,Fighting,0.05
-01-0108-01-01,X360,Sports,0.05
1994-01-01,SAT,Fighting,0.05
1996-01-01,SNES,Sports,0.05
-01-0101-01-01,DC,Fighting,0.05
-01-0105-01-01,XB,Action,0.05
-01-0107-01-01,DS,Adventure,0.05
-01-0105-01-01,XB,Sports,0.05
-01-0104-01-01,PC,Strategy,0.05
-01-0105-01-01,XB,Misc,0.05
-01-0103-01-01,GBA,Racing,0.05
nan,Wii,Misc,0.05
1998-01-01,PS,Platform,0.05
-01-0106-01-01,PSP,Action,0.05
-01-0103-01-01,PC,Simulation,0.05
-01-0111-01-01,DS,Adventure,0.05
-01-0107-01-01,PS2,Role-Playing,0.05
1995-01-01,SNES,Puzzle,0.05
-01-0109-01-01,PC,Action,0.05
-01-0101-01-01,GBA,Sports,0.05
-01-0105-01-01,GC,Racing,0.05
-01-0106-01-01,PSP,Platform,0.05
-01-0106-01-01,PS2,Sports,0.05
-01-0104-01-01,XB,Action,0.05
-01-0102-01-01,GC,Sports,0.05
-01-0106-01-01,X360,Strategy,0.05
-01-0114-01-01,PC,Action,0.05
-01-0106-01-01,PC,Racing,0.05
-01-0104-01-01,XB,Racing,0.05
-01-0111-01-01,PSP,Role-Playing,0.05
1995-01-01,PS,Puzzle,0.05
1999-01-01,PS,Strategy,0.05
-01-0111-01-01,DS,Sports,0.05
-01-0111-01-01,X360,Misc,0.05
-01-0113-01-01,3DS,Adventure,0.05
-01-0115-01-01,PS3,Adventure,0.05
-01-0105-01-01,XB,Racing,0.05
-01-0113-01-01,PSP,Misc,0.05
-01-0108-01-01,PS2,Misc,0.05
nan,PS3,Role-Playing,0.05
-01-0106-01-01,PSP,Racing,0.05
1996-01-01,PS,Sports,0.05
-01-0103-01-01,GC,Sports,0.05
-01-0112-01-01,PSP,Adventure,0.05
-01-0108-01-01,DS,Action,0.05
-01-0103-01-01,GC,Role-Playing,0.05
-01-0109-01-01,Wii,Sports,0.05
-01-0108-01-01,X360,Action,0.05
-01-0111-01-01,DS,Misc,0.05
-01-0101-01-01,PC,Strategy,0.05
-01-0107-01-01,DS,Strategy,0.05
-01-0113-01-01,PS3,Action,0.05
-01-0112-01-01,PS3,Shooter,0.05
-01-01-01-01-01-01,PC,Strategy,0.05
-01-0107-01-01,PS2,Role-Playing,0.05
-01-0108-01-01,DS,Adventure,0.05
-01-0101-01-01,GBA,Sports,0.05
-01-0108-01-01,DS,Action,0.05
1998-01-01,PC,Strategy,0.05
-01-0113-01-01,3DS,Action,0.05
-01-0104-01-01,PS2,Sports,0.05
-01-0102-01-01,GBA,Fighting,0.05
-01-0102-01-01,GBA,Racing,0.05
-01-0106-01-01,PSP,Misc,0.05
-01-0102-01-01,XB,Fighting,0.05
1993-01-01,GEN,Role-Playing,0.05
-01-0104-01-01,XB,Shooter,0.05
-01-0113-01-01,PS3,Adventure,0.05
-01-0109-01-01,Wii,Adventure,0.05
-01-0103-01-01,PC,Racing,0.05
-01-0109-01-01,DS,Puzzle,0.05
-01-0115-01-01,PSV,Racing,0.05
-01-0111-01-01,PS3,Adventure,0.05
1998-01-01,PS,Strategy,0.05
-01-0111-01-01,PSP,Adventure,0.05
-01-0105-01-01,GC,Platform,0.05
-01-0106-01-01,PS2,Action,0.05
-01-0109-01-01,DS,Adventure,0.05
-01-0106-01-01,PSP,Adventure,0.05
-01-0109-01-01,DS,Simulation,0.05
-01-0107-01-01,PSP,Sports,0.05
-01-0105-01-01,XB,Shooter,0.05
-01-0104-01-01,PC,Shooter,0.05
-01-0111-01-01,Wii,Platform,0.05
-01-0102-01-01,XB,Role-Playing,0.05
1995-01-01,PS,Shooter,0.05
-01-0113-01-01,PS3,Action,0.05
-01-0101-01-01,PS,Role-Playing,0.05
-01-0106-01-01,DS,Puzzle,0.05
-01-0106-01-01,PSP,Sports,0.05
-01-0112-01-01,X360,Racing,0.05
-01-01-01-01-01-01,Wii,Simulation,0.05
-01-0102-01-01,XB,Action,0.05
-01-0114-01-01,PSV,Adventure,0.05
-01-0108-01-01,DS,Role-Playing,0.05
-01-0115-01-01,PS3,Action,0.05
-01-0111-01-01,Wii,Strategy,0.05
-01-01-01-01-01-01,PC,Simulation,0.05
-01-0111-01-01,PS3,Sports,0.05
-01-0101-01-01,PS,Shooter,0.05
-01-0111-01-01,DS,Action,0.05
1996-01-01,PS,Adventure,0.05
-01-0107-01-01,Wii,Racing,0.05
-01-0106-01-01,PSP,Role-Playing,0.05
-01-0103-01-01,GC,Fighting,0.05
-01-01-01-01-01-01,Wii,Sports,0.05
-01-0116-01-01,XOne,Sports,0.05
-01-0109-01-01,PC,Sports,0.05
-01-0111-01-01,PC,Action,0.05
-01-0106-01-01,Wii,Misc,0.05
-01-0105-01-01,GC,Shooter,0.05
-01-0115-01-01,PS3,Role-Playing,0.05
-01-0106-01-01,XB,Strategy,0.05
-01-0114-01-01,PSV,Puzzle,0.05
-01-01-01-01-01-01,PC,Simulation,0.05
1997-01-01,N64,Shooter,0.05
-01-0107-01-01,Wii,Simulation,0.05
-01-0111-01-01,PC,Sports,0.05
-01-0107-01-01,Wii,Puzzle,0.05
-01-0101-01-01,PS2,Misc,0.05
-01-0106-01-01,PSP,Misc,0.05
-01-0103-01-01,GC,Puzzle,0.05
-01-0109-01-01,DS,Simulation,0.05
-01-0106-01-01,DS,Puzzle,0.05
-01-0112-01-01,PSV,Adventure,0.05
-01-0112-01-01,PSP,Misc,0.05
-01-0106-01-01,X360,Misc,0.05
-01-0113-01-01,X360,Shooter,0.05
-01-0107-01-01,DS,Platform,0.05
-01-0111-01-01,PSV,Adventure,0.05
-01-0104-01-01,XB,Misc,0.05
1999-01-01,PS,Racing,0.05
-01-0107-01-01,Wii,Shooter,0.05
-01-0111-01-01,3DS,Shooter,0.05
-01-0107-01-01,X360,Sports,0.05
-01-0116-01-01,XOne,Strategy,0.05
-01-0114-01-01,X360,Action,0.05
-01-0114-01-01,3DS,Role-Playing,0.05
-01-01-01-01-01-01,X360,Shooter,0.05
-01-0102-01-01,GC,Racing,0.05
-01-0102-01-01,GC,Racing,0.05
-01-0114-01-01,PSV,Action,0.05
-01-0111-01-01,DS,Puzzle,0.05
-01-0101-01-01,PS2,Action,0.05
-01-0102-01-01,XB,Sports,0.05
-01-0107-01-01,DS,Action,0.05
-01-0105-01-01,GBA,Platform,0.05
-01-0116-01-01,3DS,Adventure,0.05
-01-0107-01-01,Wii,Sports,0.05
-01-0108-01-01,X360,Sports,0.05
-01-0112-01-01,PSP,Action,0.05
-01-0108-01-01,DS,Adventure,0.05
-01-0106-01-01,PC,Strategy,0.05
-01-0111-01-01,PSP,Adventure,0.05
-01-0108-01-01,Wii,Misc,0.05
-01-0111-01-01,PC,Sports,0.05
-01-0114-01-01,PSV,Role-Playing,0.05
1999-01-01,PS,Adventure,0.05
-01-0116-01-01,PS3,Misc,0.05
-01-0116-01-01,PS4,Racing,0.05
-01-0106-01-01,Wii,Simulation,0.05
-01-0107-01-01,PC,Simulation,0.05
-01-0106-01-01,PSP,Role-Playing,0.05
-01-01-01-01-01-01,PS,Misc,0.05
-01-0109-01-01,DS,Action,0.05
-01-0104-01-01,XB,Strategy,0.05
-01-0106-01-01,DS,Adventure,0.05
-01-0108-01-01,DS,Puzzle,0.05
1996-01-01,SAT,Fighting,0.05
-01-0109-01-01,X360,Misc,0.05
-01-0107-01-01,DS,Puzzle,0.05
-01-0108-01-01,PSP,Fighting,0.05
-01-0103-01-01,GBA,Action,0.05
-01-0114-01-01,PSP,Action,0.05
-01-01-01-01-01-01,DS,Sports,0.05
-01-0106-01-01,PS3,Action,0.05
-01-0108-01-01,DS,Misc,0.05
-01-01-01-01-01-01,PC,Misc,0.05
-01-0105-01-01,XB,Misc,0.05
-01-0105-01-01,DS,Puzzle,0.05
-01-0101-01-01,PS,Puzzle,0.05
-01-0102-01-01,PS2,Sports,0.05
-01-0103-01-01,XB,Shooter,0.05
-01-01-01-01-01-01,DS,Sports,0.05
-01-0106-01-01,DS,Misc,0.05
-01-0104-01-01,DS,Racing,0.05
-01-0116-01-01,PSV,Adventure,0.05
-01-0103-01-01,XB,Platform,0.05
-01-0107-01-01,PC,Strategy,0.05
-01-0109-01-01,Wii,Sports,0.05
-01-0109-01-01,PC,Shooter,0.05
-01-0108-01-01,DS,Simulation,0.05
-01-0111-01-01,3DS,Misc,0.05
1999-01-01,N64,Racing,0.05
-01-0101-01-01,PC,Simulation,0.05
-01-0103-01-01,GBA,Misc,0.05
-01-0111-01-01,3DS,Misc,0.05
1997-01-01,PS,Sports,0.05
-01-0114-01-01,PSV,Adventure,0.05
-01-0116-01-01,XOne,Shooter,0.05
-01-0111-01-01,DS,Platform,0.05
-01-0104-01-01,XB,Shooter,0.05
-01-0108-01-01,DS,Platform,0.05
-01-0111-01-01,DS,Adventure,0.05
-01-0111-01-01,DS,Role-Playing,0.05
-01-0104-01-01,GC,Shooter,0.05
-01-0116-01-01,PS4,Action,0.05
-01-0109-01-01,PS2,Racing,0.05
-01-0115-01-01,PSV,Role-Playing,0.05
-01-0107-01-01,Wii,Action,0.05
-01-01-01-01-01-01,DS,Racing,0.05
1994-01-01,SCD,Misc,0.05
1999-01-01,PS,Puzzle,0.04
-01-0109-01-01,PC,Adventure,0.04
-01-0107-01-01,DS,Simulation,0.04
-01-0106-01-01,DS,Action,0.04
-01-0105-01-01,GBA,Role-Playing,0.04
1995-01-01,PS,Simulation,0.04
-01-01-01-01-01-01,X360,Racing,0.04
-01-0109-01-01,PS2,Fighting,0.04
-01-0108-01-01,DS,Misc,0.04
-01-0106-01-01,PS2,Fighting,0.04
-01-0106-01-01,PSP,Racing,0.04
-01-0116-01-01,PS4,Racing,0.04
-01-0108-01-01,Wii,Platform,0.04
-01-0108-01-01,DS,Adventure,0.04
-01-0106-01-01,PSP,Sports,0.04
-01-0108-01-01,DS,Misc,0.04
-01-0107-01-01,PS2,Role-Playing,0.04
-01-0111-01-01,Wii,Misc,0.04
-01-0108-01-01,DS,Simulation,0.04
-01-0106-01-01,PS2,Sports,0.04
-01-0109-01-01,PSP,Adventure,0.04
1995-01-01,SAT,Misc,0.04
-01-0107-01-01,PS2,Fighting,0.04
-01-0105-01-01,DS,Misc,0.04
-01-01-01-01-01-01,DS,Misc,0.04
-01-0115-01-01,3DS,Action,0.04
-01-0105-01-01,GBA,Misc,0.04
-01-0109-01-01,DS,Adventure,0.04
-01-0102-01-01,PC,Action,0.04
-01-0102-01-01,GC,Platform,0.04
-01-0115-01-01,PSV,Action,0.04
1996-01-01,PS,Action,0.04
